Method,Seed,Execution Time (s),NMI,ARI,F1,Num Communities
LouvainSigned_default,42,0.0315266249999695,0.9732997457988243,0.8669753645774739,0.0008557980316645271,36
LouvainSigned_best,42,0.03234150000025693,0.98762728410325,0.9626549364949207,0.02393005062126093,40
Louvain,42,0.029746457999863196,0.9766953408277113,0.9162686847600121,0.04775307954922463,38
Leiden,42,0.0172056249994057,0.997674821718028,0.9953407423286237,0.0,41
GreedyModularity,42,0.054929750000155764,0.9943691476267627,0.9737697094686218,0.0,40
SpectralClustering,42,0.15109616599875153,0.19351042015429418,0.015593495514561215,0.0016592002654720426,2
LouvainSigned_default,43,0.03383075000056124,0.9710931672743556,0.927775206076532,0.0017082590612002378,32
LouvainSigned_best,43,0.03292083300038939,0.987770909323792,0.9792790798823097,0.029663563851389768,34
Louvain,43,0.033459083000707324,0.9687378500054935,0.9094371862525298,0.0,30
Leiden,43,0.016456792000099085,0.9756808945212103,0.9189211933678775,0.11045088340640709,31
GreedyModularity,43,0.0624430410007335,0.9639812488569993,0.8612557517225266,0.029411764705882353,29
SpectralClustering,43,0.10988725000061095,0.07062212566671786,0.0036447365056551956,0.0026028110359187923,2
LouvainSigned_default,44,0.04622712499985937,0.9854143303136225,0.9744688495310916,0.03397971891122576,31
LouvainSigned_best,44,0.06779745900166745,0.9903485753966343,0.9830073704735536,0.03397971891122576,31
Louvain,44,0.03673404199980723,0.9904924109357315,0.9839878142231936,0.06531173682947279,31
Leiden,44,0.017208792000019457,0.993215763490571,0.9886641631482281,0.0967741935483871,31
GreedyModularity,44,0.06746570899849758,0.9918706121818499,0.9864778656385673,0.03147128245476003,31
SpectralClustering,44,0.12827529199967103,0.058096826190840334,0.003095499205982791,0.0012929083974400413,2
